,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,VWAP,PRE_SETTLE,SETTLE,OI,LTDATE_NEW
2017-07-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-07-31,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-03,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-10,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-30,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-08-31,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-05,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-06,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-09-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-10,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-30,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-10-31,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-03,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-06,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-10,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-11-30,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-05,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-06,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2017-12-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-03,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-05,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-10,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-30,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-01-31,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-05,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-06,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-02-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-05,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-06,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-03-30,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-03,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-10,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-04-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-02,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-03,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-09,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-10,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-16,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-17,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-18,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-23,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-24,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-28,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-29,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-30,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-05-31,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-01,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-04,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-05,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-06,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-07,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-08,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-11,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-12,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-13,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-14,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-15,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-19,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-20,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-21,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-22,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-25,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-26,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
2018-06-27,100.0,100.0,100.0,100.0,100.0,43.0,43040850.0,100.0,99.88,100.095,0.0,2016-06-13
